ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
436,2014-11-06 22:58:58.429442,association renfort des associations DA3M,association renfort des associations DA3M,تونس,تونس,سيدي بوزيد,98 909 386,khaled54amami@gmail.com,0000-00-00,حقوقية تنموية,جمعيات ما بعد 14 جانفي,خالد عمامي,,,,,,دعم  جمعيات ما بعد 14 جانفي,,,دعم الجمعيات  / خلق تحالف جمعوي للجمعيات ما بعد 14 جانفي,,,,www.sidibouzidnews.tn
437,2014-11-06 22:59:12.538843,Association de Développement Rural,جمعية الريف للتنمية,تونس / Tunisia,الباساج رقم 16,تونس,+ 216 71 240 260 / + 216 98 937 106,ass.acompagne@yahoo.fr,0000-00-00,تنموية,المواطنون والشبان الفلاحون,محمد نافع حرزي,عبدالله دخيلي,,,بعث مشاريع تنموية في جهة الكاف جهات فلاحية وبعث دورات تكوينية,جهوي,مساعدة البعثين الفلاحينٍ فالكاف,,,تكوين الشباب الحامل للشهادات,,,,
440,2014-11-06 22:59:36.032631,du travailorganisation démocratique,المنظمة الديمقراطية للشغل,المغرب,المغرب 21 شارع جزيرة العرب باب الأصل الرباط,المغرب,+21237201501,abt.maroc@gmail.com,0000-00-00,عمالية نقابية,العمال والموظفون,علي لطفي,المراني العلوي عبد العزيز,,,حماية وتعزيز الحقوق الإقتصادية والإجتماعية والثقافية الفردية والجماعية للشاغلين بالمغرب,,ندوة دولية حول الحركات الاجتماعية والنقابية على ضوء الربيع العربي برنامج تقوية القدرات في مجال المفاوضة والحقوق الإقتصادية والاجتماعية  التقرير السنوي لرصد السياسات الإجتماعية بالمغرب,,,المنتدى الوطني الخامس للعاملين بقطاع الصحة  المرافعة من أصل إقرار حقوق المهجرين الجنوب إفريقٍين  بالمغرب بعد تأسيس قطاعهم النقابي  تأسيس المنظمة الديمقراطية للخدمات الاسيويات والإفريقيات بالمغرب  مواكبة حقوق المتقاعدين بعد تأسيس المنظمة الديمقراطية للمتقاعدين,المفاوضة / التوصل الحقوق الاجتماعية والإقتصادية المرافعة,طرق تمويل الأنشطة والمؤتمرات وميزانية التسير,اسراتيجية التواصل الداخلي والخارجي للنقابة,www.adt.ma
441,2014-11-06 22:59:50.174563,-Le réseau marocain du défonce du droit à la santé -Droit de la vie,الشبكة المغربية للدفاع عن الحق في الصحة -الحق فالحياة,المغرب/Maroc,21 شارع جزيرة العرب باب الأصل الرباط المغرب,الرباط العاصمة,+212 37 20 15 01,zohair.maati@gmail.com,0000-00-00,حقوقية,المواطنين وعلاقتهم بالصحة,علي لطفي,,,,إحترام وتعزيز والدفاع عن الحق في الصحة فالمغرب,,تقارير رصد الحالة الصحية فالمغرب ندوات حول وضعية الصحة العمل على تقارير موضوعاتية على الدواء والأغذية المغيرة جينياً,تشبيك بين المدافعين عن صحة بال مغرب والمغرب العربي,,ندوة بمناسبة اليوم العالمي للصحة 7 آفريل  نشر التقرير السنوي + بلاغات الشبكة و التقارير الموضوعاتية,الصحة,رصد وتقيم السياسات الصحية,,odtmaroc.canalblog.com
442,2014-11-06 22:59:55.292906,Yemeni Organization for Economic and Social Development (YORECSOD),المنظمة اليمنية للتنمية الإقتصادية والاجتماعية (يوريكسود),الجمهورية اليمنية,الدائري شارع القاهرة – عمارة ناجي ثوابة/ شقة 5,صنعاء,00967258135,yorecsod@gmail.com,0000-00-00,منظمة غير حكومية,,يوسف عبدالله ابورأس,رجاء الهيثمي,,نبيل قاسم,ان رسالة يوريكسود الأساسية كمنظمة غير حكومية هي جسر الهوة بين الحقوق والواقع، وذلك عبر تعزيز ومناصرة الحقوق الإقتصادية والإجتماعية لكافة المواطنين بصورة متساوية مستخدمة في ذلك مقاربات وأدوات علمية تشمل، ضمن وسائل أخرى، تجميع البيانات والبحوث والتحليل وصياغة السياسات حول طائفة واسعة من المواضيع والتحديات التي يواجهها المجتمع بصورة عامة، وتتبنى المنظمة رؤية بعيدة المدى حول التطورات المجتمعية المحلية والعالمية.,,ورشة عمل حول حقوق الانسان والاسلام ورشة تدريب مدربين حول الاسلام وحقوق الانسان,تحالفات في مكافحة الفساد والشفافية تحديدا في مجال الصناعات الاستخراجية,,,في ادارة المشاريع وجلب التمويلات,,,تحت التأسيس
444,2014-11-06 23:00:21.696823,My Right organization  for growth and awareness,"من حقي \"" للتوعية والتنمية",الجمهورية اليمنية,,محافظة الحديدة,00967777248196,sameerabalah@gmail.com,0000-00-00,حقوقيه توعويه تهتم ببرامج التنمية  للإنسان,الشباب عموما من سن 15 : 45 والمثقفون والمرأة خاصة,محمد حمادي عبده,فواز عبدالرحمن فوانيس,محمد محمد يوسف,سميرة بلح,"نحن منظمة توعويه تنموية  غير ربحية تعمل في مجال التوعية والتنمية وتهدف الى نشر الوعي المجتمعي والاسهام في العمل التنموي, الهدف : 1-	تبني شكل الدولة المدنية  بالتوعية الفاعلة والتنمية الجادة 2-	تقديم أحدث الاساليب وأفضل الخدمات التي تلبي احتياجات المجتمع توعويا وتنمويا 3-	تفعيل دور المرأة والشباب للمشاركة والمراقبة والمساهمة في بناء مجتمع مدني 4-	خلق روح الشراكة والتعامل مع المنظمات المجتمعية والمرافق الحكومية والخاصة لتبادل الخبرات والمنافع",,1-	لقاء تشاوري عن التعديلات الدستورية بجامعة الحديدة  2-	حملة مناصره لدعم الحفاظ على مدينة  تحت عنوان  زبيد الارض والانسان أقامتها مؤسسة بنات الحديدة  3-	منتدى حواري حول تطلعات الشباب للحوار الوطني الشامل حول قضايا حماية الطفولة.  4-	عدد ثلاثة ورش عن المصالحة الوطنية ومناقشة قانون العدالة الانتقالية في اليمن وهي مستمرة حتى تاريخ تعبئة هذه الاستماره,,الادارة المالية,,,,,
445,2014-11-06 23:00:34.813816,Tamkeen Development Foundation,منظمة تمكين للتنمية من أجل حقوق الإنسان,الجمهورية اليمنية,شارع هايل تقاطع شارع الرقاص              ص.ب. (11951),المركز الرئيسي – صنعاء,+967 1 211085,tamkeendf@gmail.com,0000-00-00,غير حكومية وغير ربحية,المجتمع اليمني بما في ذلك صانعي القرار,-	مراد الغارتي,,,,تمكين منظمة غير حكومية تأسست في العام 2009 م، تسعى إلى المساهمة الفاعلة في تعزيز الوعي لدى المجتمع وصناع القرار وإحداث تأثير نحو بناء الدولة المدنية المستندة إلى اتجاهات الرأي العام، وتركز بصورة أساسية على الديمقراطية وحقوق الإنسان، السياسات العامة، بناء السلام.,,-	الديمقراطية المحلية في اليمن. -	بحث مظالم الشباب في 2011 . -	استطلاع ومناقشة الاتجاهات السياسية للشباب ورؤيتهم للتغيير الديمقراطي. -	تدريب ومنتديات شبابية حول الشباب وإدارة الصراع. -	ورشتي عمل دور منظمات المجتمع المدني في الانتقال الديمقراطي . -	برنامج الإصلاح الديمقراطي في اليمن. -	العدالة الانتقالية وحقوق الإنسان (مستمر). -	المرأة وقضايا الحوار الوطني في اليمن. -	حاليا : برنامج مجتمعات تصنع السلام + المشاركة في إعداد التقرير الموازي للاستعراض الدوري الشامل,مع المنظمات الدولية والمانحة.,بناء السلام,,,,,تحت الانشاء :  www.tdhrf.org
446,2014-11-06 23:00:42.934232,Fédération Tunisienne des Cinéastes Amateurs,الجامعة التّونسيّة للسّينمائيين الهواة,تونس / Tunisie,نهج مرسيليا,تونس,71 241 700,b_federal@ftca.org.tn,0000-00-00,ثقافية,سّينمائيين الهواة,Ghassen JEMAIA,Ayman JLILI,Oussema BOUAZIZ,Ghassen BEN SLAMA,éducation Cinéma graphique,إقليمي,مهرجان دولي,,,عرض أفلام,,,,http://www.ftca.org.tn
447,2014-11-06 23:00:53.044638,chary and volunteerism to build human and community developement,الأمانة العامة للعمل الخيري والتطوعي,تونس/Tunisia,تونس نهج أوكرانيا عدد 28 النحل 1,تونس,71 829 516,contact@alamana-online.org,0000-00-00,خيرية,مساعدة الجمعيات الناشئة,كوثر بن رمضان,منية شباكة,محمد الهادي منصري,فتحي بوشيبة,تطمح الامانة  العامة أن تكون رائدة في مجال العمل الجمعياتي وترسيخ ثقافة العمل المؤسسي تنمية ثقافة التشبيك والتكامل,,العمل الخيري والتطوعي,,,التنسيق بين الجمعيات و بناء قدرات العاملين فيها وذلك من اجل تضافر الجهود والطاقات لبناء مجتمع مدني قوي ومؤثر على المدى القريب والبعيد.,,,,http://www.alamana-online.org
448,2014-11-06 23:01:02.161573,association de dévolopement régional et economique et social ecologique,جمعية التنمية الجهوية والإقتصادية والتكافل الوسطي,تونس/Tunisia,سكرة,اريانة,22295874,mohamedaliragoubi@yahoo.fr,0000-00-00,حقوقية تنموية,,عثمان خالد,محمد علي راقوبي,,,العدالة الإجتماعية والتنمية المتكافئة,,كتابة محاضرات حول إصلاح عمل الدولة في المجال المؤسساتي والإقتصادي والبيئي,,,التعريف بالمؤسسات التي يجب أنها تحقق الحقوق  التعريف بالحقوق الإنسانية لدى عموم الناس السعي إلى إنشاء مركز بحث حول إصلاح الدولة والحقوق الأساسية,,,,www.adresse.net
450,2014-11-06 23:01:27.625393,Organisation Jeunes verts,منظمة الشباب الخضر,المغرب,عدد 3 عمارة 24 نهج حسين حسن الرباط,الرباط,00212651923045,ojvmaroc@hotmail.fr,0000-00-00,بيئية,,يحيى تيفاوي,,,,نشر الثقافة البيئية,جهوي,نشر الثقافة البيئية,,,,,,,
451,2014-11-06 23:01:34.791786,Forum civil démocrate du maroc,المنتدى المدني الديمقراطي المغربي,المغرب,شارع الجزاءر رقم 4 شقة 3 حسان الرباط المغرب,الرباط,00212375661754,fsdmmaroc@gmail.com,0000-00-00,حقوقية,جميع الشرائح,,,,,الإسهام في نشر حقوق الإنسان والمواطن وتنمية الوعي الديمقراطي,,الموائد المستديرة لمناقشة قضايا الساعة,,,نشر حقوق الإنسان والمواطن,,,,
452,2014-11-06 23:01:47.913037,Al raya Human right organization,منظمة الراية لحقوق الإنسان,ليبيا,خلف جامع القدس أبو عليانة,طرابلس,00218-092.6168557,arayahro@yahoo.ie,0000-00-00,حقوقية,المواطن وحقوق الإنسان,بشير رحب الإصبيعي,جمال عبد الناصر محمد بيده,,,الدفاع عن الحقوق في جميع أنحاء العالم,,,,,الخروج بالمنظمة في أنحاء العالم,,,,arayahro.blogspot.com
453,2014-11-06 23:01:55.034415,Association des ciné ciste tunisiens,جمعية السينمائيين التونسيين,تونس,,تونس,21489180,kaoutherblues@hotmail.fr,0000-00-00,جمعية مهنية ثقافية سينمائية,السينمائيين التونسيين,غانم غوار,,,,تنظيم العلاقات المهنية في ميدان السينما  تطوير جماليات التعبير كتابة واخراجا,,تنظيم تظاهرات وورشات سينمائية,,,تنظيم ورشة دولية يؤثثها عديد المخرجين الأجانب تتناول صورة العربي في السينما العالمية,,,,
454,2014-11-06 23:02:00.144941,Association victoire pour femme rurale,جمعية الإنتصار للمرأة الريفية,تونس / Tunisie,شارع الحبيب بورقيبة سيدي بوزيد 9100,سيدي بوزيد,27 112 171,associationrictoire@@yahoo.fr,0000-00-00,إجتماعية ثقافية,النساء بالمناطق الداخلية خاصة الريفيات العاملات بقطاع الفلاحة والحرف والشابات ذوي التعليم المحدود,زياد قاسم,,حياة عمامي,رتيبة شويخي,تعريف المرأة بحقوقها وواجباتها التنمية الثقافية فالمناطق الريفية  مكافحة الأمراض المتأتية من المواد الكيمياية المستعمله على الفلاحة,,أنشطة ثقافية بالمناطق الريفية  كيفاش توصل صوتك الكل مهمين البناء تونس,,التمويل,إحداث مشاريع للفتيات الريفيات ذوات التعليم  للإندماج في الدورة الإقتصادية,,,,www.facebook.com/associationvictoirepourfemmesrurales
455,2014-11-06 23:02:07.254552,Organisation universitaire de développement humain,المنظمة الجامعية للتنمية البشرية,تونس / Tunisie,تونس,تونس,+216 24 467 466,oudh.ummah@gmail.com,0000-00-00,تنموية توعوية,المجال التعليمي طلبة وتلاميذ,أسامة الجلجلي,,,سوسن كوكي,دورات تدريبية في التوعية,,•	دورات التنمية البشرية في مختلف الأجزاء الجامعية و حتى المعاهد و المدارس . •	دورات عن كيفية إدارة المشاريع الخاصة الصغيرة والمتوسطة. •	الدورات التطويرية المكثفة في مجال تنمية المهارات القيادية والإدارية للطلبة و الأساتذة بالتنسيق مع جمعيات مختصة في هذا المجال .,,,إنشاء فروع المنظمة على مستوى الأجزاء الجامعية في العالم العربي,,,,www.facebook.com/OuDh.tanmya/info
456,2014-11-06 23:02:13.366485,Tunisian association for management and social stability,الجمعية التونسية للتصرف والتوازن الإجتماعي,أريانة,نهج جزر القصور النخيلات اريانة 8130,أريانة Tunisie,71 857 020,taam@tunet.tn,0000-00-00,تنموية,الشباب /العائلات,شامة القرقوري,,,ليليا بن حميدة,إتاحة فرص للشباب لمساعدتهم على بعته مشاريع صغرى,جهوي,توفير شغل وإحداث مشاريع تنموية للفئة العاطلات عن العمل,,,توفير شغل وإحداث مشاريع تنموية للفئة العاطلات عن العمل,,,,www.taamstn.org
457,2014-11-06 23:02:18.476290,FTCR,فدرالية التونسيين مواطني الضفتين,فرنسا,23 نهج المغرب 75019 باريس,باريس,003314034411815,contact@citoyensdesdeuxrives.eu,0000-00-00,حقوق المهاجرين,المهاجرين,طارق بن هيبة,محمد بحر,حافظ  عفاس,محمد بن سعيد,من الهجرة إلى المواطنة مواطنون من هنا وهنا  الدفاع على المهاجرين التونسيين وغيرهم ضد العنصرية واتميز العنصري اعانتهم فالصحة ومعرفة قانون الدفاع كذلك على المواطنين بدون أوراق,إقليمي,القيام بمحاضرات عن الإسلام والعلمانية عن التمييز العنصري والتدخل لدى السلطات لإغاثة المهاجرين وأمسيات ثقافية   إعانة التونسيين المهاجرين,,,توحيد العمل الجمعياتي بالهجرة توفيق العلاقات مع الجمعيات التونسية  مواصلة الأعمال العادية مثلا حق المهجرين فالتصويت,,,,www.citoyensdesdeuxreves.eu
458,2014-11-06 23:02:29.608870,Association de coopération et les réseaux sociaux,جمعية التعاون والتواصل الإجتماعي,تونس,"3 نهج بحيرة ملاران- ضفاف البحيرة 1053تونس,",تونس,71964790 - 55216216,contact@atta3aouen.org,0000-00-00,جمعية خيرية  ذات طابع اجتماعي تعاوني,المحتاجين والأيتام,نجيب القروي,,,,هدفها توفير مواطن رزق للمحتاجين  والتكافل بلايتام والفقراء,جهوي,أنشطة الاحتفال باليوم الوطني للنظافة والعناية  بالبيئة  سوق التعاون الخيرية - 27 ماي,,,مشروع الأيتام ومساعدتهم,,,,www.atta3aoue.org
459,2014-11-06 23:02:35.761683,association femmes libres,جمعية نساء احرار,تونس,23 نهج دكتور زهير الصافي حمام الشط بن عروس,حمام الشط بن عروس,71 420 325 / 96 150 736,sanaamimouni@yahoo.fr,0000-00-00,المرأة والتنمية,المرأة,يسير ميموني,جيهان ميموني,ليلى شتوي,,جمعية نسوية هدفها النهوض بوعي المرأة وتفعيل دورها الإيجابي في الأسرة والمجتمع في كل المجالات تدعيم روح التضامن والتعاون بين أبناء الشعب تفعيل المهارات وإكتشاف الابداعات الكامنة لدى المرأة والإستفادة منها,جهوي,مخيمات التوعية في الاحتفال بيوم الأرض 2011,,,أنشطة أخرى في مجال حقوق المرأة فالمجتمع التونسي  توعية المرأة,,,,association femmes libres tunis
461,2014-11-06 23:02:47.996367,Dostourna,شبكة دستورنا,تونس,تونس الجمهورية جميع الولايات,تونس Tunisie,71 900 585,reseaudoustourna@gmail.com,0000-00-00,,المواطنين,جوهر بن مبارك,مريم تنغور,لطفي الناصري,,توعية المواطنين,,كتابة مقترح مشروع الدستور  المشاركة في عديد المظاهرات المدنية,,,إنجاز مشروع مجتمعي بالمشاركة مع مكونات المجتمع المدني الاخرى,,,,www.doustourna.org
462,2014-11-06 23:02:57.109231,le labo démocratique,مخبر الديمقراطية,تونس,منبلزير تونس,تونس/Tunisie,+ 216 27085737,krichahsamiha@gmail.com,0000-00-00,حقوقية,المواطنين,فرح حشاد,سماح كريشة,سلمى شعري,خالد جنات,العلاقات المتعلقة  بالديمقراطية والمرحلة الإنتقالية,جهوي,ندوة صحفية حول أرشيف البوليس  إحتفالات,,,ندوات ومؤتمرات  القضاء المدني  الديمقراطية والعلاقات الدولية,,,,wwwl.lelabodémocratique.org
463,2014-11-06 23:03:08.220721,UGTE,الإتحاد العام التونسي للطلبة,تونس/Tunisie,نهج الجزيرة,تونس,+ 216 52738181,tarchi.charfi@live.fr,1985-04-15,نقابية,الطلبة,,,,,المهمة الدفاع عن المصالح المادية والمعنوية والبيداغوجية للطلبة معلومات عامة,جهوي,الطلبة تحركات طلابية في العديد من الأجزاء الجامعية  تحرك أمام وزارة التعليم العالي,,,إعادة الفاعلية للحركة الطلابية في الجامعة التونسية,,,,http://ugte.fdspt
464,2014-11-06 23:03:13.328006,Ligue des jeunes ingénieurs,رابطة المهندسين الشباب,تونس,تونس,تونس/Tunisie,+ 216 95146508,jeunes-ingénieurs@googlegroups.com,2013-02-17,,,أمين المكاوي,سليم الحاجي,,هاجر الهيشري,الأرتقاء بواقع المهندس علمياً ومهنيا,جهوي,المشاركة فالمنتدى العالمي للجمعيات,,,البحث عن مواطن شغل للشبان المهندسين المتحصلين على شهادتهم  البحث عن تدريب للمهندسين الذي مازلوا يزولون التعليم,,,,facebook.com/leagueogengimeersf
466,2014-11-06 23:03:26.607630,Association Jeunes pour Jeunes Maroc,جمعية شباب للشباب المغرب,المغرب/Maroc,الرباط المغرب,الرباط المغرب,0699924770,ajj.direction@gmail.com,0000-00-00,سياسية من أجل ضمان وحماية ونشر الحقوق الإقتصادية والإجتماعية والبئية والسياسية للشباب,شباب,,,,,حماية الحقوق الإقتصادية والإجتماعية والبيئية والسياسية,جهوي,تقدم مذكرة للتعديلات الدستورية ونشر وحماية الحقوق الإقتصادية والإجتماعية والبيئية,,,المرصد المغربي للبرلمان  المرصد المغربي للسياسات والعمومييه,,,,
467,2014-11-06 23:03:39.727285,,نحن الألفية لتنمية الطفولة والشباب,اليمن,,الحديدة,"00697777281628, 00697712822733",,0000-00-00,تنموية خاصة الطفولة والشباب,الشباب والأطفال من كل الفئات,نهى أبو بكر مزجاجي,أحمد يوسف  الجبوبي,ياسر حسن القديمي,حياة أحمد سالم حكمي,الرؤية : غداً نهضة الشعوب بأيدي أبناءها  الرسالة : معاً لبناء وتطوير مهارات الطفولة والشباب . الهدف :-  تنمية الأطفال والشباب ورعايتهم وحمايتهم في الحالات المستقرة والحالات الإنسانية الطارئة,,ـ حفل الأشهار .  ـ ندوة بعنوان الغد والواعد ( لطلاب وطالبات جامعة الحديدة )  ـ دورة تدريبية لفريق المبادة في مجال التخطيط التشغيلي  ـ تنفيذ عدد ( 4 ) دورات تدريبية في كيفية التعامل مع المريض ( طلاب كلية الشفاء ـ طلاب مركز التعليم المستمر ـ موظفي مركز العسيل الكلوي ـ موظفي مستشفى الرشيد التخصصي )  ـ المشاركة في عدة دوارات عبر الأتحاد الأروبي ـ الصندوق الإنمائي للأمم المتحدة ـ جمعيات ومؤسسات محلية .,,,,,,,
468,2014-11-06 23:03:45.918580,Yemen renaissance organization,نهضة يمن,اليمن,شارع الهريش – جوار ساحة الحرية – مبنى الجامعة اليمنية الأردنية – الطابق الرابع,تعز,"009674232656, 711031013","Info.yemenrenaissance@gmail.com, m.aljopy.yemenrenaissance@gmail.com",0000-00-00,منظمة شبابية طوعية تهتم ببناء الفكر الإنساني ومجال الحقوق والحريات,المجتمع,,ماجد الجوبي,,سمر شكري,رويتنا : ان يستفيد 12000 شخص من 40 مشروع بحلول عام 2018 م . رسالتنا: المساهمة الفعالة في صناعة إنسان النهضة من خلال استثمار الطاقات وبناء القدرات بتنفيذ مشاريع ابداعية بالتعاون مع المجتمع والمنظمات المحلية والدولية والجهات ذات العلاقة . أهدافنا الاستراتيجية : -	التميز بمشاريع تنموية تنهض بالمجتمع.  -	المساهمة في رفع قدرات الكوادر الشبابية بالتدريب والتأهيل المتخصص. -	تعميق الولاء الوطني ونشر ثقافة المسئولية لدى المجتمع. -	خلق شراكات فاعلة مع المنظمات المانحة الدولية والمحلية والجهات ذات العلاقة.,,-	تدشين مشروع التدريب العملي لخريجي الجامعات . -	تدشين مشروع تطوير الأداء الإداري لمنظمات المجتمع المدني . -	تدشين مشروع التجمعات الشبابية . -	دورات تأهيلية في التنمية البشرية .,,,,,,,
469,2014-11-06 23:03:55.031975,Visions Association for Development and Rehabilitation,جمعية رؤى للتنمية والتأهيل,الجمهورية اليمنية,مدرية الحالي-شارع الثلاثين- جوار رد سي مول,الحديدة,"009673261857, 00967733909568","kordyebraheem@hotmail.com, alnhariahmed@hotmail.com",0000-00-00,تنموية –اجتماعية ـ طوعية,الشباب- المرأة والطفل,ابراهيم سعيد احمد مبروك كردي,,عبد الله أحمد محمد الحاج,أحمد بن عفيف النهاري,الرؤية : الإسهام الفاعل في التنمية المستدامة بتوفير التدريب الكافي للشباب بالجودة العالية لسوق العمل و تحقيق الريادة على المستوى المحلي . الرسالة : التميز في تقديم الخدمات التنموية للشباب بجودة عالية من خلال الشفافية المطلقة والشراكة بكوادر مؤهلة ومدربة  الأهداف : •	نشر الوعي بالحقوق و الواجبات و حماية كرامة الإنسان و المواطنة المتساوية . •	تبني قضايا الشباب و الدفاع عنهم و إشراكهم في المجتمع  . •	تدريب و تأهيل الشباب في جميع المجالات و مساعدتهم في الحصول على فرص عمل . •	الاهتمام بالشباب و تحسين الوضع الصحي و البيئي و تنمية الموارد البشرية . •	الاهتمام بالمرأة و دعمها و إشراكها في جميع المجالات,,,,,,,,,https://www.facebook.com/pages/جمعية-رؤى-للتنمية-و-التأهيل/
470,2014-11-06 23:04:06.340138,Qualification & legal assistance for human right .yemen,مركز التأهيل والعون القانوني لحقوق الانسان,الجمهورية اليمنية,عدن كريتر شارع أبان عمارة عصيران الدور الثاني شقة رقم2,عدن,"009672260054, 009672 251791","qlahrcenter@gmail.com, qlahrcenter@gmail.com, tahercenter@yahoo.com",0000-00-00,منظمة غير حكومية غير ربحية,المحامين والقضاة وأعضاء النيابة ونشطاء حقوق الإنسان والمجتمع المدني والشباب والطلاب,طاهر منصور قاسم,محمد عبد الرحمن سيف,,خالد محمد علي,يهدف المركز الإسهام في تعزيز حقوق الانسان المدنية والسياسية والاقتصادية والاجتماعية والشفافية ، ونشر وتنمية الوعي بها والتشجيع على احترامها وحمايتها طبقا للمواثيق الدولية لحقوق الانسان . ) يسعى المركز وفقا للأهداف التي أنشى من اجلها إلى تعزيز احترام سيادة القانون ومبادئ وقيم حقوق الانسان(,,تنفيذ مشروع تنمية مهارات وقدرات المناصرة لحقوق الانسان ] فبراير 2011 – يناير 2012 م[ - تنفيذ مشروع تعزيز سيادة القانون واستقلال القضاء ] فبراير 2012 - يناير 2013 م[ - إقامة عدد من ورش التدريب بحقوق الانسان لعدد كبير من المحامين المبتدئين والنشطاء الحقوقيين في عدن – اب . - المشاركة في عشرات الدورات وورش العمل والندوات وحلقات النقاش والمؤتمرات المتصلة بقضايا حقوق الانسان والديمقراطية داخل الوطن والخارج. نقوم حاليا بتنفيذ مشروع : بناء قدرات العاملين في مجال القانون للدفاع عن استقلال القضاء وفقا لمعايير حقوق الانسان الدولية.,,,,,,,www.qlayemen.com
471,2014-11-06 23:04:20.454281,Youth community service and volunteers foundation (YCV),مؤسسة شباب خدمة المجتمع والعمل التطوعي (واي سي في),الجمهورية اليمنية,شارع بغداد عمارة بنك الامل الدور الثالث,صنعاء,00967 1 446161,Ycvfoundation@gmail.com,0000-00-00,منظمة غير حكومية,الشباب من سن 15- 25,محمد الحكيمي,,نديم عبد الصمد,شادي عبد الوهاب,"هي مؤسسة شبابيه غير حكوميه لاتهدف الى الربح تقع في العاصمة صنعاء اسست لتشجيع الشباب في العمل الطوعي وانشطة خدمة المجتمع. حيث يمثل الشباب شريحه واسعه في الهرم السكاني اليمني. ومن هنا جاءت رؤية المؤسسة \"" نحن نهتم بالشباب لشباب يهتم بالمجتمع\"" لتمكين الشباب في عملية التغير الى الافضل وتطوير مهاراتهم.",,-	ندوة عن تثقيف الشباب حول التحرش الجنسي لدى الاطفال  -	Ready to Help  مشروع مستعدين للمساعدة  -	ورشة العمل الاولى حول العمل التطوعي صنعاء  -	ورشة العمل الثانية حول العمل التطوعي ذمار -	ورشة العمل الثالثة حول العمل التطوعي ذمار -	الحملة الميدانية لنشر المنشورات والوعي التطوعي في المدارس صنعاء -	الحملة الوطنية لنظافة آمانة العاصمة صنعاء  -	اليوم الوطني لمرضى الهيموفيليا  -	مشروع تطوعي سر نجاحي,•	قبل التشبيك مع منظمات اخرى نحتاج الى تطوير الشبكة الحالية الواصلة بين مراكز المؤسسة الحالية صنعاء ، ذمار ، تعز.  •	هناك احتياج كبير لبناء تحالفات مع منظمات تهتم بالشباب والعمل التطوعي داخليه.  •	نحتاج الى انشاء مراكز للمؤسسة في بقية المحافظات وخاصة عدن.,•	نحتاج الى انشاء مركز تدريب متخصص في العمل التطوعي يكون مجهز بكافة الاحتياجات من اجهزة كمبيوتر واثاث. •	نحتاج الى وسيلة نقل خاصة بالمؤسسة نظراً للكم الهائل من النزلات الميدانية للمناطق المستهدفة هذا لان عمل المؤسسة باكمله يقوم على انشاء نقطة تواصل بين هؤلاء المتطوعين وبين المنظمات العاملة الاخرى.,,-	التدريب في المجال الاداري (تدريب الادارة على كيفية تنظيم العمل الاداري) -	تدريب المدربين (وذلك لتمكين ادارة المنظمة من عمل دورات للمتطوعين) -	التدريب في مجال التنمية البشرية  -	التدريب في مجال جمع المصادر المالية. -	التدريب في المجال المالي المحاسبي (وذلك لتمكين الادارة من الاحتفاظ بسجل منظم لعملياتها المالية. -	التدريب في المجال الامني,•	المواد الاساسية للتدريب (قرطاسية ، صبورات تدريب، منشورات، ...). •	مصاريف تشغيلية للدورات التي تقام للمتطوعين (كهرباء ، ماء ، هاتف ، انترنت،...) •	مصاريف ادارية (ايجار ، مواصلات ، مصاريف تغذية),•	نحتاج لشراكة حقيقة وذلك لنقص مخزوننا الفعال من المعلومات في المجال المجتمعي  •	نحتاج لقاعدة بيانات مشتركة بالمعلومات والتجارب في المجال التطوعي وبناء الشباب.,
472,2014-11-06 23:04:31.557317,A nation withaout Border Human Developement hou man right and Refoger,مركز وطن بلا حدود للتنمية البشرية وحقوق الإنسان وشؤون اللاجئين,مصر/Egypte,68 شارع محفوض شرق سكة الحديد الأقصر,الأقصر,Fax 095 2373953,safoutsamaan@yahoo.cm,0000-00-00,حقوقية,حقوق المصريين وحقوق اللاجئين,صفوت سمعان يسي,,,,حماية حقوق الإنسان والحفاض على حقوق اللاجئين ومراقبة الإنتخابات,إقليمي,تقارير على حالات اللاجئين تقارير مراقبة الإنتخابات والإستقصاء,,,حقوق الإنسان  مراقبة الإنتخابات رغم التطور الديمقراطي  مساعدة الاجئين,,,,
473,2014-11-06 23:04:39.663960,ATF,الرابطة الأهلية  لتنمية بالفحص,تونس /Tunis,الفحص,الفحص,97355958,,0000-00-00,تنموية ثقافية,المواطنين والشباب,صلاح بن مبارك,نائلة المطوي,مصطفى بن يوسف,,أعمال خيرية تنموية ثقافية للشباب,,تنمية وثقافة للشباب,,,على نفس المنوال لتنمية بتونس,,,,
